iggdb_species_id	iggdb_species_name	taxonomy	gut_mags	ref_genomes	ncbi_id
175524	Citrobacter pasteurii	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__	2	4	1563222
174330	Ruminococcus sp. HGM-782	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__DTU089;g__Ruminococcus_E	2	0	1263
155437	Clostridia sp. UC5.1-1C12	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma	0	3	1697790
178546	Eggerthella sp. HGM-1365	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427	1	0	84111
175340	Collinsella sp. HGM-789	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	2	0	102106
175146	Peptoniphilus grossensis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A grossensis	0	2	1465756
169331	Firmicutes sp. HGM-553	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02	4	0	1239
187300	Bacteroidales sp. HGM-1235	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__P3	1	0	171549
179603	Bacillales sp. HGM-982	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-288	1	0	1385
181287	Clostridium sp.	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066935;s__	0	2	59620
178121	Eubacterium sp. HGM-1349	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens	1	0	1730
181293	Corynebacterium jeddahense	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium jeddahense	0	1	1414719
168991	Lactobacillus parabuchneri	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_G;s__Lactobacillus_G parabuchneri	3	25	152331
170983	Clostridium sp.	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp2	136	1	1485
170944	Leuconostoc sp.	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides	0	52	1245
177818	Blautia sp. HGM-1338	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A	1	0	572511
169454	Firmicutes sp. HGM-492	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	5	0	1239
186523	Megasphaera sp. HGM-1209	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__DIF-B143	1	0	906
166897	Bittarella massiliensis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Bittarella;s__Bittarella massiliensis	0	3	1720313
177707	Collinsella sp. HGM-1335	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	1	0	102106
185313	Erysipelatoclostridium ramosum	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium ramosum	57	7	1547
153837	Clostridium sp.	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__	1	1	1485
